pool,project,symbol,chain,tvlUsd,apy,apyBase,apyReward,apyMean30d,sigma,mu,stablecoin,ilRisk,exposure,outlier,prediction_class,prediction_prob_pct,poolMeta
f4106b25-024d-4f19-85f0-bf109ab46f7c,fluid-dex,WEETH-ETH,Arbitrum,1196900,0.04683,0.04683,,3.48472,0.11481,1.01611,False,no,multi,False,Stable/Up,65.0,
c3f33e70-a3b9-4c5a-b5b7-2a79654c6403,balancer-v3,EURE-AAVEUSDC,Arbitrum,1176266,3.20827,3.20827,0.0,3.65402,0.19404,4.48512,True,yes,multi,False,Stable/Up,71.0,
0d29be76-ba86-400f-961b-8dbccbd8cd56,uniswap-v3,CAPX-USDC,Arbitrum,1173133,0.9449,0.9449,,0.95523,0.02095,0.18447,False,yes,multi,False,Down,69.0,0.01%
cc2dac50-4dce-45bb-9b3f-dd9becb646dd,camelot-v3,WETH-APEETH,Arbitrum,1129987,0.0,0.0,,0.00099,0.01958,0.03639,False,no,multi,False,,,
01a2483d-7aba-44d1-85b1-7fd885a467d1,gmx-v2-perps,ETH-USDC,Arbitrum,1128342,6.31695,6.31695,,6.43176,0.72512,20.87246,False,yes,multi,False,Stable/Up,91.0,
a6dc5af9-ff47-44f4-ad38-a0c6fc62278e,native-credit-pool,NUSD₮0,Arbitrum,1123571,1.937,1.937,,2.84089,0.06448,1.10992,True,no,single,False,Down,65.0,"single-side, no-loss LP"
6fc4f4dd-425f-4f18-a683-3e31ada1bc91,uniswap-v4,WBTC-USDC,Arbitrum,1113542,18.10379,18.10379,,7.71583,0.29521,3.82844,False,yes,multi,False,Down,89.0,0.30%
9924c11e-fc09-4420-8248-c929a0124018,uniswap-v3,LON-USDC,Arbitrum,1111048,0.31731,0.31731,,0.38516,0.00954,0.02709,False,yes,multi,False,Down,52.0,0.3%
1c3ccb43-3eea-457a-8d64-ed8527455167,uniswap-v3,CHIP-USDC,Arbitrum,1109634,3.71447,3.71447,,1.59201,0.06588,1.36177,False,yes,multi,False,Down,60.0,0.01%
2e23e95e-e423-41f0-8db3-54d6326eb21a,camelot-v3,USDC-USDT,Arbitrum,1109473,1.2115,1.2115,,0.96952,0.27218,4.84213,True,no,multi,False,Stable/Up,83.0,
9beef608-8e7b-455b-97a1-84247be6631d,curve-dex,WBTC-TBTC,Arbitrum,1071625,0.3303,0.33,0.0003,0.24454,0.43848,2.61252,False,no,multi,False,Stable/Up,70.0,
